layer_name,size_of_sys_array,shape_of_sys_array,ifmap_sram_size_kb,filter_sram_size_kb,ofmap_sram_size_kb,cycles,avg_dram_ifmap_bw,avg_dram_filter_bw,avg_dram_ofmap_bw,cost,Sum 
DataCenter_Conv1,256,16x16,64,64,64,448019,2.376,0.102,0.728,1436348.91,16935349.05
DataCenter_Conv2,256,16x16,64,64,64,446207,2.979,15.756,16,15499000.14,
DataCenter_Conv1,1024,32x32,64,64,64,121124,4.439,0.526,2.688,926961.97,8755202.32
DataCenter_Conv2,1024,32x32,64,64,64,112575,6.963,30.575,32,7828240.35,
DataCenter_Conv1,256,16x16,128,128,128,448019,2.234,9.852,0.833,5787957.46,18436587.29
DataCenter_Conv2,256,16x16,128,128,128,446207,9.908,2.439,16,12648629.83,
DataCenter_Conv1,256,16x16,64,64,64,423797,13.135,0.087,15.775,12288841.61,26551397.12
DataCenter_Conv2,256,16x16,64,64,64,577151,11.545,1.525,11.642,14262555.51,
DataCenter_Conv1,256,16x16,128,128,128,423797,10.047,9.852,15.776,15118957.97,28498472.45
DataCenter_Conv2,256,16x16,128,128,128,577151,9.908,1.574,11.7,13379514.48,
DataCenter_Conv1,256,16x16,64,128,64,423797,13.135,9.852,15.775,16427219.31,30718055.22
DataCenter_Conv2,256,16x16,64,128,64,577151,11.545,1.574,11.642,14290835.91,
DataCenter_Conv1,256,16x16,256,128,256,423797,5.753,9.852,15.778,13300021.25,26744176.64
DataCenter_Conv2,256,16x16,256,128,256,577151,9.903,1.574,11.817,13444155.39,
DataCenter_Conv1,256,16x16,64,512,256,423797,13.135,9.495,15.778,16277195.18,30707701.63
DataCenter_Conv2,256,16x16,64,512,256,577151,11.545,1.641,11.817,14430506.45,
Mobile_Conv1,256,16x16,64,64,64,448019,2.376,0.102,0.728,1436348.91,16935349.05
Mobile_Conv2,256,16x16,64,64,64,446207,2.979,15.756,16,15499000.14,
Mobile_Conv1,256,16x16,32,32,32,448019,2.789,0.147,0.686,1622724.82,10858317.31
Mobile_Conv2,256,16x16,32,32,32,446207,4.712,15.838,0.148,9235592.49,
Mobile_Conv1,256,16x16,128,128,128,448019,2.234,9.852,0.833,5787957.46,18436587.29
Mobile_Conv2,256,16x16,128,128,128,446207,9.908,2.439,16,12648629.83,
Mobile_Conv1,256,16x16,16,16,16,448019,4.109,0.124,0.667,2195293.1,12697667.26
Mobile_Conv2,256,16x16,16,16,16,446207,7.601,15.842,0.094,10502374.16,
Mobile_Conv1,256,16x16,128,64,256,448019,2.234,0.102,1.172,1571650.65,20162419.1
Mobile_Conv2,256,16x16,128,64,256,446207,9.908,15.756,16,18590768.45,